Name,Type of Agency,Tagline,Ratings,Reviews,Sponsor,MinProjectSize,HourlyRate,TeamSize,Location,ServiceNames,ServicePercentages,Feedback,WebsiteLink,ClutchDirectoryLink
Jewel Toned Interiors,Interior Design,Design studio in downtown Fort Lauderdale,,,No,Undisclosed,Undisclosed,2 - 9,"Fort Lauderdale, FL","Interior Design,Out of Home Design,Branding,Graphic Design","80,10,5,5","Jewel Toned Interiors is the collaboration of very passionate and talented individuals, who are highly-skilled in the art of transforming interior spaces and fostering conscious connections.  We…",https://www.jeweltoned.com/,https://clutch.co/profile/jewel-toned-interiors
"Haleh Design, Inc.",Interior Design,"Interior Design, Potomac, MD.",,,No,Undisclosed,Undisclosed,2 - 9,"Potomac, MD",Interior Design,100,"Haleh Design works in greater Washington, DC, Beverly Hills and San Diego, California as well as worldwide with an elite international clientele delivering 20,000 to 55,000 square feet projects with…",https://www.halehdesigninc.com/,https://clutch.co/profile/haleh-design
The Verve Partnership,Interior Design,Interior Design Studio,,,No,Undisclosed,Undisclosed,10 - 49,"Baltimore, MD","Interior Design,Architectural Design,Branding,Business Consulting,Commercial Development,Lighting Design","75,5,5,5,5,5",The Verve Partnership believes in designing spaces from the inside out. We focus on people and identity way before the first wall is drawn. The environments we create are built for the human…,http://www.thevervepartnership.com/,https://clutch.co/profile/verve-partnership
Shayona Consultant,Interior Design,Top Interior Designers in Ahmedabad,,,No,"$5,000+",$50 - $99 / hr,50 - 249,"Ahmedabad, India","Interior Design,Architectural Design","50,50","Come to Shayona consultant if you’re looking for a professional Architect in Ahmedabad. With our design approach and lasting trends, we provide innovative designs for your space. We complete…",https://www.prashantparmar.com/best-architect-interior-designer-ahmedabad/,https://clutch.co/profile/shayona-consultant
Hamilton Stone Design,Interior Design,Hamilton Stone Design (Haywards Heath) LTD,,,No,Undisclosed,Undisclosed,Freelancer,"Lindfield, United Kingdom",Interior Design,100,"We have amassed over 30 years of experience designing kitchens for all types of homes in all styles you could imagine. We do this the same way as we always have. We simply listen, plan, advise, and…",https://hamiltonstonedesign.com/,https://clutch.co/profile/hamilton-stone-design
Tycan Flooring,Interior Design,We Provide Flooring Service in Scarborough,,,No,Undisclosed,Undisclosed,2 - 9,"Toronto, Canada",Interior Design,100,"Tycan believes in quality and customer satisfaction. we provide theses services hardwood flooring, vinyl flooring, floor installation, luxury vinyl flooring, vinyl plank flooring & laminate…",https://tycanflooring.ca/,https://clutch.co/profile/tycan-flooring
NK Design&Co,Interior Design,Interior Design Company in Toronto,,,No,Undisclosed,Undisclosed,2 - 9,"Toronto, Canada",Interior Design,100,"Interior design Company in Toronto offers Beautiful Homes Service for living rooms, bedrooms and Kitchen interior design.Get end-to-end house design decor services for home at NK Design&Co.",https://nkdesignco.com/interior-design-toronto/,https://clutch.co/profile/nk-designco
KleenAir,Interior Design,Heating & Air Conditioning Services Provider,,,No,Undisclosed,Undisclosed,50 - 249,"Sacramento, CA",Interior Design,100,"KleenAir is a bonded, licensed & insured company that provides air duct cleaning services in Sacramento and nearby areas. We are proud of delivering the best air duct cleaning service in…",https://gotkleenair.com/,https://clutch.co/profile/kleenair
Sheraspace Ltd.,Interior Design,Interiors that reflect you,,,No,Undisclosed,Undisclosed,50 - 249,"Dhaka, Bangladesh",Interior Design,100,"Founded in 2019, Sheraspace is the very first interior design platform in Bangladesh that has brought online interior design consultations in the market. Sheraspace is focused on democratising…",https://www.sheraspace.com/bn_bd/,https://clutch.co/profile/sheraspace
ReformaPlus,Interior Design,Empresa líder en reformas integrales en Madrid,,,No,"$1,000+",< $25 / hr,2 - 9,"Madrid, Spain",Interior Design,100,"Reformaplus, líder en reformas integrales en Madrid.",https://www.reformaplus.com/,https://clutch.co/profile/reformaplus
